Para analizar los resultados pueden hacer una copia (Archivo > Crear una copia) o bajar los csv de cada país (Archivo > Descargar como),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recuerden calificar empresas en www.openqube.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me identifico,Tengo,Dónde estás trabajando,Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Universidad,Realizaste cursos de especialización,¿Contribuís a proyectos open source?,¿Programás como hobbie?,Trabajo de,Plataformas,Lenguajes de programación,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,¿Qué SO usás en tu laptop/PC para trabajar?,¿Y en tu celular?,¿Tenés guardias?,Cuánto cobrás por guardia,"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual BRUTO (en tu moneda local),Salario mensual NETO (en tu moneda local),¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto al último semestre,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2018?,¿De qué % fue el ajuste?,¿En qué mes fue el último ajuste?,¿Sufriste o presenciaste situaciones de violencia laboral?,Orientación sexual,¿Tenés algún tipo de discapacidad?,¿Sentís que esto te dificultó el conseguir trabajo?,¿A qué eventos de tecnología asististe en el último año?,Cantidad de empleados,Actividad principal,¿La recomendás como un buen lugar para trabajar?,¿Cómo calificás las políticas de diversidad e inclusión?,¿A cuántos kilómetros de tu casa queda la oficina?,Beneficios extra
Hombre,36,Chaco,4,5,3,0,Universitario,En curso,Licenciatura en Sistemas de Información,UNNE-FACENA Corrientes,"Sí, de forma particular",No,No,BI Analyst / Data Analyst,Linux,"SQL, DAX",,MySQL,,,Windows,Android,No,0,Bruto,Full-Time,24,23500,1,2,Menos de un sueldo,Acuerdo entre la patronal y el gremio,Uno,10,10,Jamás,Heterosexual,,,"Encuentro Nacional RUN, Jornada Simplificación de Trámites",2001-5000,Otras industrias,3,9,3,"Horarios flexibles, Licencia de paternidad/maternidad extendida, Viáticos"
Hombre,27,Chaco,8,3,3,0,Universitario,Incompleto,Ingenieria en Sistemas de Informacion,UTN,No,No,Sí,Developer,Web,Javascript,"Node.js, React.js",,,Visual Studio Code,Mac OS X,Android,No,0,Porcentaje de mi sueldo,Full-Time,160000,104000,3,3,Menos de un sueldo,Performance individual,Dos,41,10,Jamás,Heterosexual,,,CSS Conf AR,1-10,Servicios / Consultoría de Software / Digital,8,8,-1,"Capacitaciones y/o cursos, Horarios flexibles, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,20,Chaco,2,2,0,0,Terciario,Completado,,,"Sí, de forma particular",Sí,Sí,Manager / Director,"Amazon Web Services, *BSD",".NET, ABAP, ActionScript, Assembler, Bash/Shell, C, C++, C#, Clojure, CSS, Go, Groovy, Elixir, Erlang, HTML, Java, Javascript, Kotlin, Matlab, Objective-C, Perl, PHP, Python, R, Ruby, Rust, Scala, Smalltalk, SQL, Swift, TypeScript, VBA",".NET Core, Angular, Cordova, Django, Drupal, Hadoop, Node.js, React.js, Spark, Spring, TensorFlow, Torch, WordPress","Aerospike, Amazon DynamoDB, Amazon Redshift, Apache HBase, Amazon RDS/Aurora, Apache Hive, Cassandra, ElasticSearch, Google Cloud Storage, IBM Db2, Informix, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), MSSQL, MongoDB, MySQL, Neo4j, Oracle, Percona XtraBackup, Percona XtraDB Cluster, Percona Server, PostgreSQL, ProxySQL, Redis, SQLite","HP LoadRunner, OpenQA, Ranorex, RSpec, Selenium, Telerik Studio, Test Complete, Visual Studio Coded UI, Watir","Android Studio, Atom, Coda, Eclipse, Emacs, IntelliJ, IPython / Jupyter, Komodo, Nano, NetBeans, Notepad++, PHPStorm, PyCharm, RStudio, Sublime Text, TextMate, Vi, Vim, Visual Studio, Xcode, Zend",Linux,Android,No,0,Neto,Full-Time,56000,43000,4,4,Menos de un sueldo,Performance grupal,Uno,3,3,,,,,,201-500,Producto basado en Software,10,10,103,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida"
Hombre,23,Chaco,2,2,0,2,Universitario,En curso,Ingeniería en Sistemas de Información ,UTN FRRe,No,No,Sí,Developer,"Firebase, Google Cloud Platform/App Engine, Windows Server","Java, Kotlin, SQL",Spring,MSSQL,,"Android Studio, Eclipse, Notepad++",Windows,Android,No,0,Porcentaje de mi sueldo,Part-Time,40000,32000,2,2,No,No recibo bono,No,0,9,Jamás,Heterosexual,,,,11-50,Producto basado en Software,7,10,20,Ninguna de las anteriores
Hombre,41,Chaco,20,16,12,3,Universitario,Completado,,,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,DBA,"Docker, Linux, Proxmox","Bash/Shell, PHP, Python, SQL, VBA, PowerBuilder","Angular, Node.js, WordPress, Siu-toba","Informix, MSSQL, MySQL, PostgreSQL",,"NetBeans, Notepad++",Linux,Android,"Sí, pasiva",8000,Bruto,Full-Time,45000,33000,2,2,No,No recibo bono,No,0,0,Jamás,Heterosexual,,,Ticar 2018,1001-2000,Otras industrias,6,6,3,"WFH (Trabajar desde casa), Ninguna de las anteriores"
Hombre,36,Chaco,16,5,5,11,Posgrado,Completado,Ing. en Sistemas,UTN FRRE,"Sí, los pagó un empleador",Sí,Sí,Manager / Director,"Amazon Web Services, Docker, Linux","CSS, Javascript, PHP, Python, SQL","Drupal, Node.js, React.js, WordPress, Laravel","Aerospike, Amazon DynamoDB, Cassandra, MariaDB, MongoDB, MySQL, PostgreSQL",Selenium,"PHPStorm, Vim",Mac OS X,Android,No,0,Neto,Full-Time,50000,65000,3,3,3+ sueldos,Performance de la compañía,Dos,40,12,Jamás,Heterosexual,,No,"JsConf, DrupalCon, PyData",11-50,Servicios / Consultoría de Software / Digital,9,7,3,"Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad / posgrados, Horarios flexibles, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,37,Chaco,13,1,1,2,Universitario,Completado,Ingeniería en Sistemas de Información,UTN,No,Sí,No,Manager / Director,"Linux, Windows Server","ABAP, PHP, SQL, VBA",WordPress,MSSQL,,Visual Studio,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,72186,55604,3,2,No,No recibo bono,Más de dos,20,12,Jamás,Heterosexual,,,Sotm latam,51-100,Otras industrias,9,8,10,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,38,Chaco,10,4,3,0,Universitario,En curso,Ingenieria en Sistemas de Informacion,UTN - FRRe,"Sí, de forma particular",Sí,Sí,Architect,"Amazon Web Services, Docker, Linux","Bash/Shell, CSS, HTML, Javascript, PHP, Python, SQL","Angular, Drupal, React.js, WordPress, Laravel","MariaDB, MongoDB, MySQL, Redis",,"PHPStorm, PyCharm, Vi, Vim, Katalon",Mac OS X,Android,No,0,Porcentaje de mi sueldo,Full-Time,92000,85000,4,4,Menos de un sueldo,Performance individual,No,0,0,Jamás,Heterosexual,,,"DrupalCon, NodeConfAr",1-10,Servicios / Consultoría de Software / Digital,10,9,1,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos, WFH (Trabajar desde casa)"
Hombre,40,Chaco,15,11,11,0,Universitario,Incompleto,ISI,UTN,"Sí, de forma particular",Sí,Sí,Developer,"Docker, Heroku, Linux, VMWare, Windows Server","CSS, HTML, Javascript, Python, SQL",Django,"MSSQL, PostgreSQL",Selenium,"Atom, Sublime Text, VSCode",Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,35000,35000,3,2,Un sueldo,Mix de las anteriores,Dos,35,11,Jamás,Heterosexual,Visual,No,PyDay,1-10,Servicios / Consultoría de Software / Digital,7,5,6,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,36,Chaco,7,0,0,0,Universitario,Completado,Técnico Superior en Programación,UTN,"Sí, de forma particular",No,Sí,Developer,Windows Server,".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, Angular, Bootstrap, MaterilizeCss",MSSQL,,"Sublime Text, Visual Studio",Windows,Android,No,0,Porcentaje de mi sueldo,Remoto (empresa de otro país),40000,40000,3,3,No,No recibo bono,No,0,0,En un trabajo anterior,Heterosexual,,,,1-10,Producto basado en Software,7,10,-1,WFH (Trabajar desde casa)
