Para analizar los resultados pueden hacer una copia (Archivo > Crear una copia) o bajar los csv de cada país (Archivo > Descargar como),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recuerden calificar empresas en www.openqube.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me identifico,Tengo,Dónde estás trabajando,Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Universidad,Realizaste cursos de especialización,¿Contribuís a proyectos open source?,¿Programás como hobbie?,Trabajo de,Plataformas,Lenguajes de programación,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,¿Qué SO usás en tu laptop/PC para trabajar?,¿Y en tu celular?,¿Tenés guardias?,Cuánto cobrás por guardia,"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual BRUTO (en tu moneda local),Salario mensual NETO (en tu moneda local),¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto al último semestre,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2018?,¿De qué % fue el ajuste?,¿En qué mes fue el último ajuste?,¿Sufriste o presenciaste situaciones de violencia laboral?,Orientación sexual,¿Tenés algún tipo de discapacidad?,¿Sentís que esto te dificultó el conseguir trabajo?,¿A qué eventos de tecnología asististe en el último año?,Cantidad de empleados,Actividad principal,¿La recomendás como un buen lugar para trabajar?,¿Cómo calificás las políticas de diversidad e inclusión?,¿A cuántos kilómetros de tu casa queda la oficina?,Beneficios extra
Hombre,30,Ciudad Autónoma de Buenos Aires,8,3,1,0,Universitario,Completado,Ingeniería Electrónica,Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,Networking,"Docker, Kubernetes, Linux, OpenStack, VMWare","Bash/Shell, Java, Javascript, Perl, PHP, Python","Hadoop, Node.js","ElasticSearch, MariaDB, MongoDB, MySQL, SQLite",,"Android Studio, Eclipse, Emacs, Nano, Notepad++, Sublime Text, Vi, Vim",Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,47350,39000,1,1,No,No recibo bono,Dos,30,1,Jamás,Heterosexual,,,Red Hat Summit,10001+,Otras industrias,4,9,2,Abono de celular y/o Internet
Hombre,26,Ciudad Autónoma de Buenos Aires,0,0,0,0,Universitario,En curso,Sociología,UBA,No,No,No,QA / Tester,,Ruby,Node.js,,"Selenium, Appium","Android Studio, Vim, Visual Studio, Xcode",Mac OS X,Android,No,0,Porcentaje de mi sueldo,Full-Time,29300,24300,3,3,No,No recibo bono,Uno,22,11,En un trabajo anterior,Bisexual o queer,,No,,201-500,Producto basado en Software,9,10,2,"Descuentos en gimnasios, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,44,Ciudad Autónoma de Buenos Aires,15,7,2,0,Universitario,Incompleto,Analista y Programador de Sistemas,Universidad Nacional de San Juan,"Sí, de forma particular",No,Sí,Developer,Windows Server,".NET, C#, Javascript, SQL",Angular,MSSQL,"Selenium, Protractor, Specflow, Cucumber, NUnit","Notepad++, Visual Studio, VS Code",Windows,Android,No,0,Bruto,Full-Time,73000,61000,3,3,Un sueldo,No esta atado a ninguna variable,Más de dos,52,12,En un trabajo anterior,Heterosexual,,,,2001-5000,Servicios / Consultoría de Software / Digital,9,10,50,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Playroom, Snacks, golosinas, bebidas, Stock options / Shares, Viajes al exterior, WFH (Trabajar desde casa), Book Allowance"
Hombre,39,Ciudad Autónoma de Buenos Aires,20,12,12,0,Universitario,Incompleto,cs de la computación,caece,"Sí, de forma particular",Sí,Sí,SysAdmin / DevOps / SRE,"Amazon Web Services, Azure, Google Cloud Platform/App Engine, Linux, Solaris","Bash/Shell, Erlang, HTML, Javascript, Python",Django,"ElasticSearch, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), MySQL, PostgreSQL, Redis, SQLite",Test Complete,"Vi, Vim",Linux,Android,"Sí, pasiva",0,Neto,Full-Time,86000,60000,2,3,Un sueldo,Mix de las anteriores,Más de dos,43,12,En mi trabajo actual,Heterosexual,,,"pycon, pydata",2001-5000,Otras industrias,7,5,30,"Abono de celular y/o Internet, Clases de idiomas, Descuentos en gimnasios, Lactario en la oficina"
Hombre,40,Ciudad Autónoma de Buenos Aires,21,5,5,5,Universitario,Incompleto,Licenciatura en Sistemas,Kennedy,"Sí, de forma particular",Sí,Sí,Líder Técnico,"Amazon Web Services, Azure, Firebase, Google Cloud Platform/App Engine, Kubernetes, VMWare",".NET, C, C++, C#, CSS, HTML, Java, Javascript, SQL",".NET Core, Angular, Cordova, Node.js, React.js","Amazon DynamoDB, Informix, MSSQL, MongoDB, MySQL, Neo4j, Oracle",Visual Studio Coded UI,"Android Studio, Eclipse, IntelliJ, NetBeans, Notepad++, Sublime Text, Visual Studio, Xcode",Windows,Android,No,0,Bruto,Full-Time,95000,70000,2,2,No,No recibo bono,Uno,30,12,Jamás,Heterosexual,,,,1001-2000,Otras industrias,4,5,30,"Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles"
Hombre,26,Ciudad Autónoma de Buenos Aires,6,0,3,6,Terciario,Completado,Analista de Sistemas,Instituto Raul Scalabrini Ortiz,No,Sí,No,Developer,"Amazon Web Services, Docker, Google Cloud Platform/App Engine, Kubernetes, Linux","CSS, HTML, Java, Javascript, Python, Ruby, SQL","Angular, Cordova, Node.js, React.js, Spring","MSSQL, MySQL",,"Atom, Eclipse, IntelliJ, Nano, Notepad++, Sublime Text, TextMate, Vim",Linux,Android,No,0,Neto,Full-Time,94000,62000,3,2,3+ sueldos,Mix de las anteriores,Uno,20,8,Jamás,Heterosexual,,No,,501-1000,Otras industrias,8,8,24.9,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Mujer,21,Ciudad Autónoma de Buenos Aires,2,2,2,0,Universitario,En curso,Ciencias de la Computacion,Universidad de Buenos Aires,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,QA / Tester,"Docker, Linux, VMWare","Bash/Shell, Javascript, Python",,"PostgreSQL, CouchDB",,"Sublime Text, Visual Studio",Linux,Android,No,0,Porcentaje de mi sueldo,Part-Time,13,16000,2,2,No,No recibo bono,Uno,15,10,Jamás,Pansexual,,,"PyCon, EkoParty, NotPinkCon, Nerdearla, ",51-100,Servicios / Consultoría de Software / Digital,6,2,4,"Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,41,Ciudad Autónoma de Buenos Aires,25,1,1,0,Posgrado,Completado,Ingenieroa en Sistemas,UAI,"Sí, de forma particular",Sí,Sí,SysAdmin / DevOps / SRE,"Linux, Windows Server","Bash/Shell, HTML, Javascript, Perl, Python, R, SQL",,"Oracle, sybase",,"RStudio, Vi",Windows,Android,"Sí, activa",6000,Bruto,Full-Time,80000,60000,3,3,De uno a tres sueldos,Performance de la compañía,Más de dos,45,12,En un trabajo anterior,Heterosexual,,,,10001+,Otras industrias,10,10,4,"Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,32,Ciudad Autónoma de Buenos Aires,8,1,1,0,Universitario,En curso,Ingenieria en Sistemas,UTN,"Sí, los pagó un empleador",No,No,DBA,AIX,"Bash/Shell, Javascript, SQL, VBA",,"MSSQL, Oracle",,"Notepad++, Vi",Windows,iOS,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,60000,50000,2,1,No,No recibo bono,Uno,7,10,En mi trabajo actual,Heterosexual,,No,,2001-5000,Otras industrias,3,3,-1,"Horarios flexibles, Snacks, golosinas, bebidas, Viáticos"
Hombre,33,Ciudad Autónoma de Buenos Aires,8,0,0,0,Universitario,En curso,Ingeniería en Informática,Universidad Católica Argentina,No,No,Sí,Developer,"Amazon Web Services, Linux","Java, Javascript, Scala",Spring,PostgreSQL,,"IntelliJ, Sublime Text",Mac OS X,iOS,No,0,Porcentaje de mi sueldo,Full-Time,110000,77000,4,3,De uno a tres sueldos,Mix de las anteriores,Uno,15,10,Jamás,Heterosexual,,,Meetups,1-10,Producto basado en Software,10,10,5,"Abono de celular y/o Internet, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,33,Ciudad Autónoma de Buenos Aires,10,2,2,0,Secundario,Completado,,,No,No,Sí,SysAdmin / DevOps / SRE,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Bash/Shell, Groovy, Python",,"Amazon DynamoDB, Amazon RDS/Aurora, MongoDB, MySQL, PostgreSQL, Redis",,"PyCharm, Sublime Text, Vi, Vim",Mac OS X,iOS,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,100000,59000,3,2,De uno a tres sueldos,Performance individual,Más de dos,30,10,Jamás,Heterosexual,,No,"Ekoparty, Nerdearla",10001+,Producto basado en Software,10,10,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Cuota para universidad / posgrados, Descuentos en gimnasios, Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida, Playroom, Snacks, golosinas, bebidas, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos, WFH (Trabajar desde casa), Yoga Classes, Wellness Credit (U$s 100 monthly) "
Hombre,28,Ciudad Autónoma de Buenos Aires,6,0,0,0,Universitario,Completado,Lic. en Cs. de la Computacion,FaMAF - UNC,"Sí, los pagó un empleador",Sí,Sí,Developer,,"Groovy, Java, SQL",Spring,PostgreSQL,,IntelliJ,Mac OS X,Android,"Sí, activa",0,Bruto,Full-Time,130000,85000,4,4,No,No recibo bono,Dos,30,10,Jamás,Heterosexual,,,Nerdear.la,201-500,Producto basado en Software,8,10,3,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Lactario en la oficina, Playroom, Snacks, golosinas, bebidas, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,33,Ciudad Autónoma de Buenos Aires,10,1,1,0,Terciario,Completado,Telecomunicaciones,ORT,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,SysAdmin / DevOps / SRE,"Amazon Web Services, Docker, Linux","Bash/Shell, Python, Ruby, SQL",,"Amazon DynamoDB, ElasticSearch, MySQL, PostgreSQL, Redis, SQLite",,"Atom, Vi, Vim",Linux,Android,"Sí, pasiva",25,Porcentaje de mi sueldo,Full-Time,55000,45000,3,3,No,No recibo bono,Dos,35,9,En un trabajo anterior,Heterosexual,,No,"Flisol, Pycon, nerdearla",51-100,Servicios / Consultoría de Software / Digital,8,5,7,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Mujer,40,Ciudad Autónoma de Buenos Aires,10,10,5,0,Universitario,Completado,ing en sistemas,uai,No,No,No,DBA,spss,"SQL, spss",,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",,,Windows,Android,No,0,Neto,Part-Time,90000,75000,3,3,No,No recibo bono,Más de dos,40,12,En un trabajo anterior,Heterosexual,,,,501-1000,Otras industrias,9,3,8,"Lactario en la oficina, Licencia de paternidad/maternidad extendida"
Hombre,27,Ciudad Autónoma de Buenos Aires,4,3,3,0,Universitario,En curso,Ingeniería en Sistemas,UTN,"Sí, los pagó un empleador",No,No,Developer,Windows Server,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, React.js","MSSQL, MongoDB, PostgreSQL",,"Sublime Text, Visual Studio",Windows,Android,No,0,Neto,Full-Time,38000,32000,2,1,No,No recibo bono,Dos,15,9,Jamás,Heterosexual,,Sí,,201-500,Servicios / Consultoría de Software / Digital,5,6,10,"Comidas pagas/subvencionadas, Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,31,Ciudad Autónoma de Buenos Aires,6,1,1,0,Universitario,Completado,Ingeneria en Computación ,Universidad de Oriente,"Sí, de forma particular",No,No,Developer,Azure,".NET, C#",".NET Core, Angular","Microsoft Azure (Tables, CosmosDB, SQL, etc), Oracle",,Visual Studio,Windows,iOS,No,0,Porcentaje de mi sueldo,Full-Time,56000,46000,2,1,Un sueldo,Mix de las anteriores,Dos,20,10,Jamás,Heterosexual,,,.Net conf,201-500,Otras industrias,7,6,4,"Clases de idiomas, Guardería"
Hombre,40,Ciudad Autónoma de Buenos Aires,20,4,15,0,Secundario,Completado,,,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,application support,"AIX, Amazon Web Services, Linux, VMWare, Windows Server","Bash/Shell, CSS, HTML, Javascript, Perl, Python",Django,"IBM Db2, PostgreSQL, SQLite","RSpec, Selenium","IntelliJ, IPython / Jupyter, PyCharm, Vi, Vim",Mac OS X,Android,"Sí, activa",20000,Bruto,Full-Time,120000,80000,4,4,De uno a tres sueldos,Mix de las anteriores,No,0,0,Jamás,Heterosexual,,No,none,501-1000,Producto basado en Software,8,8,-1,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27,Ciudad Autónoma de Buenos Aires,6,1,1,0,Universitario,Completado,Ingeniería en Sistemas de Información,UTN,No,No,Sí,Developer,Docker,"CSS, Go, Groovy, HTML, Java, Javascript, SQL","Node.js, React.js, Spring","ElasticSearch, MySQL, Redis","Selenium, Visual Studio Coded UI","IntelliJ, Visual Studio Code",Mac OS X,Android,"Sí, pasiva",0,Bruto,Full-Time,56850,44400,2,1,De uno a tres sueldos,Performance de la compañía,Dos,20,10,Jamás,Heterosexual,,No,"CSSConf, NodeConf, Nerdear.la",1001-2000,Producto basado en Software,8,7,3,"Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Masajes, Snacks, golosinas, bebidas, WFH (Trabajar desde casa), Cochera subvencionada"
Hombre,37,Ciudad Autónoma de Buenos Aires,18,3,2,4,Terciario,Completado,analista de sistemas,la matanza,"Sí, los pagó un empleador",No,No,problem manager,Windows Server,,,,,,Windows,Android,No,0,Neto,Full-Time,52000,41000,3,3,De uno a tres sueldos,Mix de las anteriores,Dos,30,10,Jamás,Heterosexual,,,,2001-5000,Servicios / Consultoría de Software / Digital,9,9,15,"Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Lactario en la oficina, WFH (Trabajar desde casa)"
Hombre,35,Ciudad Autónoma de Buenos Aires,13,1,13,0,Universitario,Incompleto,Ing. Sistemas,UBA,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,Developer,"Docker, Linux","HTML, Javascript, PHP, Python, SQL","Node.js, React.js","MariaDB, MSSQL, MongoDB, MySQL, PostgreSQL, Redis",,"Vi, Vim",Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,100000,,3,3,No,No recibo bono,Dos,45,0,En un trabajo anterior,Heterosexual,,,,11-50,Producto basado en Software,8,7,2,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Cuota para universidad / posgrados, Descuentos en gimnasios, Horarios flexibles, Masajes, Playroom, Snacks, golosinas, bebidas, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Mujer,35,Ciudad Autónoma de Buenos Aires,0,0,0,0,Universitario,Completado,,,"Sí, de forma particular",No,No,Business Analyst,SAP,,,,,,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,30000,24900,3,3,No,No recibo bono,No,0,0,Jamás,Bisexual o queer,,Sí,,2001-5000,Servicios / Consultoría de Software / Digital,10,10,6,Horarios flexibles
Hombre,29,Ciudad Autónoma de Buenos Aires,7,6,1,0,Universitario,Completado,Programador en Sistemas,Universidad Nacional de Entre Ríos,"Sí, de forma particular",No,Sí,Developer,Linux,"Bash/Shell, HTML, Java, Javascript, Python, Scala","Angular, Node.js, Spring","Cassandra, ElasticSearch, MariaDB, MongoDB, MySQL, Redis",,"Eclipse, IntelliJ, Sublime Text, Vim, Visual Studio Code",Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,82000,63000,2,3,De uno a tres sueldos,Performance de la compañía,Más de dos,40,1,Jamás,Heterosexual,,,Meetups de Machine Learning,2001-5000,Producto basado en Software,6,8,5,"Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Licencia de paternidad/maternidad extendida, Playroom, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,37,Ciudad Autónoma de Buenos Aires,15,0,9,0,Terciario,Incompleto,,,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Developer,"Amazon Web Services, Docker, Firebase","Java, Kotlin",,SQLite,,"Android Studio, IntelliJ",Mac OS X,Android,No,0,Porcentaje de mi sueldo,Full-Time,140000,100000,3,2,3+ sueldos,Mix de las anteriores,Dos,40,10,En un trabajo anterior,Heterosexual,,,,201-500,Producto basado en Software,7,5,5,"Abono de celular y/o Internet, Clases de idiomas, Descuentos en gimnasios, Masajes, Playroom, Snacks, golosinas, bebidas, Stock options / Shares, WFH (Trabajar desde casa)"
Hombre,27,Ciudad Autónoma de Buenos Aires,4,2,2,0,Universitario,En curso,Tecnicatura superior en informatica aplicada,Universisdad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Developer,Linux,"Java, Javascript",Spring,"MSSQL, MySQL",,"Eclipse, Nano, Sublime Text, Vi, Vim",Linux,Android,No,0,Bruto,Full-Time,45500,37765,1,2,No,No recibo bono,Dos,20,11,Jamás,Heterosexual,,,,11-50,Producto basado en Software,1,5,20,"Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,29,Ciudad Autónoma de Buenos Aires,3,1,1,0,Terciario,Completado,Carrera de Diseño y Programación de Simuladores Virtuales,DaVinci,"Sí, de forma particular",No,Sí,Developer,,".NET, C#",.NET Core,,,,Mac OS X,Android,No,0,Porcentaje de mi sueldo,Full-Time,38500,32000,3,2,De uno a tres sueldos,Performance individual,Uno,15,8,Jamás,Heterosexual,,,Unity developer conference ,201-500,Producto basado en Software,8,8,20,"Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,38,Ciudad Autónoma de Buenos Aires,13,2,2,0,Universitario,Incompleto,Ingeniería en Sistemas,UTN,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Developer,"Docker, Linux","Java, Javascript, TypeScript","Angular, Node.js",Oracle,,"Eclipse, IntelliJ, Visual Studio",Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,80670,65812,3,3,Menos de un sueldo,Performance individual,Más de dos,15,11,Jamás,Heterosexual,,No,,101-200,Producto basado en Software,8,8,-1,"Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Masajes, WFH (Trabajar desde casa)"
Hombre,42,Ciudad Autónoma de Buenos Aires,20,2,12,2,Terciario,Completado,,,No,No,No,Recruiter / HR,,,,,,,Windows,iOS,No,0,Bruto,Full-Time,50000,40000,1,1,Un sueldo,Mix de las anteriores,Uno,34,6,Jamás,Heterosexual,,,,11-50,Producto basado en Software,5,10,10,Horarios flexibles
Hombre,29,Ciudad Autónoma de Buenos Aires,8,8,8,0,Terciario,Completado,,,No,No,No,Developer,,".NET, SQL",.NET Core,"MSSQL, MySQL",,Visual Studio,Windows,iOS,No,0,Porcentaje de mi sueldo,Full-Time,34000,29000,2,1,Menos de un sueldo,Mix de las anteriores,Dos,25,8,Jamás,Heterosexual,,No,,1-10,Producto basado en Software,7,10,7,"Horarios flexibles, Snacks, golosinas, bebidas"
Hombre,30,Ciudad Autónoma de Buenos Aires,3,6,3,0,Universitario,Incompleto,Ingenieria en Sistemas,UADE,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,SysAdmin / DevOps / SRE,"Amazon Web Services, Kubernetes, Linux, VMWare, Windows Server","Bash/Shell, C, C++, PHP","Node.js, WordPress","Amazon Redshift, MariaDB, MySQL, Percona XtraBackup",Selenium,"Notepad++, Sublime Text, Vi, Vim",Linux,iOS,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,64000,47000,3,2,No,No recibo bono,Dos,69,11,En un trabajo anterior,Heterosexual,,No,.,51-100,Producto basado en Software,7,6,10,"Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios"
Hombre,28,Ciudad Autónoma de Buenos Aires,4,1,1,0,Universitario,Incompleto,Diseño Grafico,UBA,"Sí, de forma particular",No,No,UX,,,,,,,Mac OS X,Android,No,0,Porcentaje de mi sueldo,Full-Time,53000,41500,2,2,No,No recibo bono,Dos,35,11,Jamás,Heterosexual,,,Charlas de UX,201-500,Servicios / Consultoría de Software / Digital,7,8,5,"Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,39,Ciudad Autónoma de Buenos Aires,15,10,10,20,Posgrado,Completado,Ingeniería en Informática,UBA,"Sí, de forma particular",No,No,Manager / Director,"Amazon Web Services, Docker, Linux, Serverless, VMWare","Bash/Shell, C, C++, CSS, HTML, Java, Javascript, Objective-C, PHP, SQL, Swift","Angular, Node.js, React.js, WordPress","Amazon RDS/Aurora, MariaDB, MongoDB, MySQL, PostgreSQL, Redis, SQLite",Selenium,"Android Studio, Atom, IntelliJ, Vim, Xcode",Mac OS X,iOS,No,0,Porcentaje de mi sueldo,Full-Time,82980,58970,2,2,No,No recibo bono,Dos,30,12,Jamás,Heterosexual,,No,,501-1000,Otras industrias,5,7,5,"Abono de celular y/o Internet, Comidas pagas/subvencionadas"
Hombre,29,Ciudad Autónoma de Buenos Aires,7,3,7,0,Universitario,En curso,Ingeniería en informática,UNAJ,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Business Analyst,,,Spring,MSSQL,,Notepad++,Windows,Android,No,0,Neto,Full-Time,47000,39000,3,3,No,No recibo bono,Dos,20,11,Jamás,Heterosexual,,No,,10001+,Otras industrias,7,8,33,"Descuentos en gimnasios, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Otros,45,Ciudad Autónoma de Buenos Aires,15,2,2,30,Universitario,Incompleto,Ing sistemas,Utn,No,Sí,Sí,Manager / Director,"Amazon Web Services, Docker, Firebase, Google Cloud Platform/App Engine, Linux, Serverless, Windows Server","ActionScript, C, C++, C#, HTML, Javascript","Angular, Node.js, React.js","Amazon DynamoDB, Google Cloud Storage, MongoDB",Selenium,"Eclipse, Visual Studio",Mac OS X,iOS,No,0,Porcentaje de mi sueldo,Full-Time,250000,,3,3,3+ sueldos,Mix de las anteriores,No,0,0,Jamás,N,,,,201-500,Producto basado en Software,10,10,-1,"Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad / posgrados, Horarios flexibles, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos, WFH (Trabajar desde casa)"
Hombre,26,Ciudad Autónoma de Buenos Aires,8,1,3,3,Universitario,En curso,Ingeniería en Sistemas de Información,UTN Facultad Regional Buenos Aires ,No,Sí,Sí,Developer,"Amazon Web Services, Linux",,Angular,"MongoDB, MySQL",,"Eclipse, NetBeans, Notepad++, PHPStorm, Sublime Text",Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,48000,40000,1,1,No,No recibo bono,Uno,4,6,En mi trabajo actual,Heterosexual,,Sí,"PyConAr, Nerdearla",11-50,Otras industrias,3,1,20,"Ninguna de las anteriores, no recibo ningun tipo de beneficio"
Hombre,44,Ciudad Autónoma de Buenos Aires,14,5,0,7,Universitario,Completado,Ingeniería en Sistemas de información ,Universidad Tecnológica Nacional ,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,Project Manager,"Docker, Kubernetes, Linux, OpenStack","Java, Javascript, SQL",Spring,"ElasticSearch, Oracle, SQLite",Selenium,"Atom, Eclipse, Nano, Notepad++, Vi, Vim",Linux,Android,No,0,Bruto,Full-Time,160000,112000,4,2,No,No recibo bono,Uno,18,9,En un trabajo anterior,Heterosexual,,,Jornadas de comunidades digitales ,10001+,Otras industrias,10,10,12,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc), Guardería, Licencia de paternidad/maternidad extendida, Sueldo divido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,32,Ciudad Autónoma de Buenos Aires,11,1,1,0,Universitario,Completado,Ingeniería en informática,UCEMA,"Sí, de forma particular",No,Sí,Developer,"Amazon Web Services, Docker","Groovy, Java",Spring,"MongoDB, MySQL",,IntelliJ,Mac OS X,Android,"Sí, pasiva",0,Bruto,Full-Time,63500,42000,3,2,Menos de un sueldo,Performance de la compañía,Uno,30,10,Jamás,Heterosexual,,,,1001-2000,Producto basado en Software,8,8,3,"Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Licencia de paternidad/maternidad extendida, Masajes, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,40,Ciudad Autónoma de Buenos Aires,20,1,6,0,Universitario,Incompleto,Licenciatura en sistemas de Informacion,UBA,"Sí, los pagó un empleador",No,No,Infosec,"Linux, Windows Server",Bash/Shell,,,,,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,52000,42000,2,3,Un sueldo,Dia del Bancario,Más de dos,42,12,Jamás,Heterosexual,,,Eko Party,201-500,Otras industrias,7,8,30,"Capacitaciones y/o cursos, Licencia de paternidad/maternidad extendida, Mochila, utiles y libros para hijos"
Mujer,40,Ciudad Autónoma de Buenos Aires,12,4,1,12,Universitario,Completado,Analista de Sistemas,UNLP,"Sí, de forma particular",No,No,BI Analyst / Data Analyst,,SQL,,Teradata,,,Windows,iOS,No,0,Bruto,Full-Time,72000,51000,2,2,Un sueldo,Mix de las anteriores,Dos,25,10,Jamás,Heterosexual,,,,101-200,Servicios / Consultoría de Software / Digital,7,8,70,"Descuentos en gimnasios, WFH (Trabajar desde casa)"
Hombre,25,Ciudad Autónoma de Buenos Aires,0,0,0,0,Universitario,En curso,ingeniería en informática,universidad nacional de avellaneda,"Sí, de forma particular",No,Sí,Access managment JR,Windows Server,,,,,,Windows,Android,No,0,Neto,Full-Time,21,18,1,1,No,No recibo bono,Dos,25,10,Jamás,Heterosexual,,,Charlas introductorias a bitcoin  y tecnología.,101-200,Servicios / Consultoría de Software / Digital,5,4,6,Ninguna de las anteriores
Mujer,39,Ciudad Autónoma de Buenos Aires,11,0.3,0.3,0,Universitario,Completado,Recursos Humanos,Maimonides,"Sí, de forma particular",No,No,Recruiter / HR,N/A,N/A,N/A,N/A,N/A,N/A,Windows,Android,No,0,Bruto,Full-Time,67000,45000,3,3,De uno a tres sueldos,Performance de la compañía,Dos,20,07,En un trabajo anterior,Heterosexual,,,,11-50,Servicios / Consultoría de Software / Digital,8,5,12,"Clases de idiomas, Horarios flexibles, WFH (Trabajar desde casa), OSDE 210"
